arm_name,threshold,coverage,risk,n_covered
fair:lexical_resolver_gate,0.65,0.62,0.0,124
fair:lexical_resolver_gate,0.66,0.62,0.0,124
fair:lexical_resolver_gate,0.67,0.62,0.0,124
fair:lexical_resolver_gate,0.68,0.62,0.0,124
fair:lexical_resolver_gate,0.6900000000000001,0.615,0.0,123
fair:lexical_resolver_gate,0.7000000000000001,0.615,0.0,123
fair:lexical_resolver_gate,0.71,0.615,0.0,123
fair:lexical_resolver_gate,0.72,0.615,0.0,123
fair:lexical_resolver_gate,0.73,0.615,0.0,123
fair:lexical_resolver_gate,0.74,0.6,0.0,120
fair:lexical_resolver_gate,0.75,0.6,0.0,120
fair:lexical_resolver_gate,0.76,0.585,0.0,117
fair:lexical_resolver_gate,0.77,0.585,0.0,117
fair:lexical_resolver_gate,0.78,0.585,0.0,117
fair:lexical_resolver_gate,0.79,0.555,0.0,111
fair:lexical_resolver_gate,0.8,0.545,0.0,109
fair:lexical_resolver_gate,0.81,0.52,0.0,104
fair:lexical_resolver_gate,0.8200000000000001,0.5,0.0,100
fair:lexical_resolver_gate,0.8300000000000001,0.475,0.0,95
fair:lexical_resolver_gate,0.84,0.465,0.0,93
fair:lexical_resolver_gate,0.85,0.465,0.0,93
fair:lexical_resolver_gate,0.86,0.365,0.0,73
fair:lexical_resolver_gate,0.87,0.315,0.0,63
fair:lexical_resolver_gate,0.88,0.12,0.0,24
fair:lexical_resolver_gate,0.89,0.07,0.0,14
fair:lexical_resolver_gate,0.9,0.015,0.0,3
fair:lexical_resolver_gate,0.91,0.015,0.0,3
fair:lexical_resolver_gate,0.92,0.015,0.0,3
fair:lexical_resolver_gate,0.93,0.015,0.0,3
fair:lexical_resolver_gate,0.9400000000000001,0.015,0.0,3
fair:lexical_resolver_gate,0.9500000000000001,0.015,0.0,3
fair:lexical_resolver_gate,0.96,0.015,0.0,3
fair:lexical_resolver_gate,0.97,0.015,0.0,3
fair:lexical_resolver_gate,0.98,0.015,0.0,3
fair:lexical_resolver_gate,0.99,0.015,0.0,3
fair:lexical_resolver_gate,1.0,0.0,0.0,0
