policy,draw,p_success,p_wrong,p_wrong_tier3,p_unresolved,e_attempts,e_retries_abstain,e_retries_parse,success_per_100_attempts,p_success_lo,p_success_hi,p_wrong_lo,p_wrong_hi,p_wrong_tier3_lo,p_wrong_tier3_hi,p_unresolved_lo,p_unresolved_hi,e_attempts_lo,e_attempts_hi,e_retries_abstain_lo,e_retries_abstain_hi,e_retries_parse_lo,e_retries_parse_hi,success_per_100_attempts_lo,success_per_100_attempts_hi,n_boot_dropped
glm-5.3-flash:advisory,without_replacement,0.9876215571867745,0.0,0.0,0.012378442813225421,1.2709078361252273,0.18549888115105506,0.09778739778739781,77.70992743249248,0.9546691882531386,0.997411437016616,0.0,0.0,0.0,0.0,0.002588562983383955,0.045330811746861446,1.1563361047489553,1.4235394961425498,0.08596828349392906,0.33204803168367786,0.049231908339425486,0.16500362437085636,67.23975522523753,86.15977028290055,0
glm-5.3-flash:enforced,without_replacement,0.9966999184390488,0.0,0.0,0.003300081560951126,1.1624526841918146,0.10687830687830686,0.05887445887445887,85.74111720787982,0.9801588202370609,0.9991330083885022,0.0,0.0,0.0,0.0,0.000866991611497938,0.01984117976293906,1.0974722700903043,1.2529460271313486,0.06031739847122693,0.17415644229440438,0.022776403733193524,0.12041498330101258,78.27745615422818,91.00374997013695,0
deepseek-v4-flash:none,without_replacement,0.9683135704874835,0.025974025974025976,0.0,0.005712403538490495,1.1717171717171717,0.1551540247192421,0.0222755505364201,82.64055472263867,0.9268601839556654,0.9879767385677959,0.006205908289241622,0.05531519205432249,0.0,0.0,0.000937131820209051,0.03092856972088699,1.0925748555030932,1.2878486618604104,0.07237996717810605,0.2842290524581881,0.004629629629629629,0.052680794881911526,72.76930414541133,89.51524508830936,0
deepseek-v4-flash:advisory,without_replacement,0.9722358157140766,0.024627224627224626,0.0,0.003136959658698789,1.1220277307233826,0.11347637869376997,0.01168831168831169,86.6498918959219,0.936571600383907,0.9916658034085082,0.004830871423262727,0.05358699035169615,0.0,0.0,0.00021336796826992906,0.02440804031992975,1.057167097947162,1.214859451707202,0.05027538159706015,0.2212569516437689,0.0,0.03688593656085915,77.68338789209916,92.95521295780972,0
deepseek-v4-flash:enforced,without_replacement,0.978025597590815,0.01847041847041847,0.0,0.0035039839387665476,1.138632703850095,0.12571993224167136,0.01641675554719033,85.89473974212983,0.9460330024771754,0.9945354316668954,0.0,0.04278475751301837,0.0,0.0,0.0002849978664138117,0.022683557691622013,1.0619319649428212,1.246075767565369,0.051082832355387575,0.24291613532001,0.0,0.03982496239392787,76.73422216047534,92.75660862698867,0
gate:confidence,with_replacement,0.9540732035219054,0.0,0.0,0.04592679647809464,1.4623598938343738,0.5082866903124686,0.0,65.24202472623085,0.8731061429831586,0.9803669126506537,0.0,0.0,0.0,0.0,0.019633087349346257,0.12689385701684142,1.3002374738287052,1.6885208755882815,0.31997271238093017,0.8136509204575595,0.0,0.0,51.79979275587193,75.39209649151417,0
gate:lexical,with_replacement,0.9994729911203954,0.0,0.0,0.0005270088796046762,1.0650420687368618,0.06556907761646633,0.0,93.84352228506512,0.9929363964191349,0.9999683489717338,0.0,0.0,0.0,0.0,3.1651028266159615e-05,0.0070636035808650435,1.0116449885977357,1.160308186015277,0.011685630145180629,0.1660262669708219,0.0,0.0,85.69129468056929,98.84482686021182,0
claude-sonnet-5:none,with_replacement,0.9659292660748129,0.0,0.0,0.034070733925187134,1.4048202422923168,0.36722945739137075,0.0716615188261329,68.75821097926784,0.9025518353966386,0.9844045912633761,0.0,0.0,0.0,0.0,0.015595408736623965,0.09744816460336123,1.2679290611050988,1.5910950701168152,0.24179293759056428,0.5608251045933116,0.02129912032222907,0.1530543804242332,56.840076283631085,77.63202548956782,0
claude-sonnet-5:advisory,with_replacement,0.9331710105572069,0.0,0.0,0.06682898944279307,1.5354160265657084,0.4756407618567967,0.126604254151705,60.77642765293043,0.8482215062435308,0.9678037311608726,0.0,0.0,0.0,0.0,0.03219626883912747,0.15177849375646926,1.3688415598396813,1.7505105424524883,0.2817429776853951,0.7613205354779697,0.06320085230517473,0.21766326949798706,48.53506793158814,70.68473624692999,0
claude-sonnet-5:enforced,with_replacement,0.9597592065668904,0.0,0.0,0.04024079343310946,1.4435886620110714,0.4483012510462115,0.03552820439796932,66.4842577268406,0.8837237795146186,0.9834247229755803,0.0,0.0,0.0,0.0,0.01657527702441981,0.11627622048538157,1.2844312743457373,1.6648913401855625,0.26861156473367964,0.735189283780356,0.008990774776031185,0.07821194814814807,53.07014900496338,76.57080662268186,0
