model,contrast,endpoint,a,b,difference,lo,hi,n_boot_dropped
gemini-3.7-flash,advisory_minus_none,p_unresolved,0.02067570111048372,0.0030616726268900183,0.017614028483593704,0.0031017246184664427,0.05783631502122223,0
gemini-3.7-flash,advisory_minus_none,e_attempts,1.3320262668088754,1.1322855888073278,0.1997406780015476,0.09078769816658575,0.3387588386742976,0
gemini-3.7-flash,advisory_minus_none,success_per_100_attempts,73.52139543281497,87.55589416816734,-14.034498735352372,-22.994850205165807,-6.545378279655302,0
gemini-3.7-flash,gate_minus_advisory,p_success,0.9645649036953385,0.9793242988895163,-0.014759395194177793,-0.0670171402238456,0.012321725901894051,0
gemini-3.7-flash,gate_minus_advisory,p_wrong,0.0,0.0,0.0,0.0,0.0,0
gemini-3.7-flash,gate_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
gemini-3.7-flash,gate_minus_advisory,p_unresolved,0.035435096304661524,0.02067570111048372,0.014759395194177804,-0.012321725901893829,0.06701714022384533,0
gemini-3.7-flash,gate_minus_advisory,e_attempts,1.4520881694794736,1.3320262668088754,0.12006190267059824,-0.012823914699180799,0.2672750734368816,0
gemini-3.7-flash,gate_minus_advisory,success_per_100_attempts,66.42605621124946,73.52139543281497,-7.09533922156551,-16.25318292894267,1.5719301260099794,0
gpt-5.6-luna,enforced_minus_advisory,p_success,0.9677395068699417,0.9777213125039211,-0.009981805633979435,-0.03601151190462058,0.0006089895538170399,0
gpt-5.6-luna,enforced_minus_advisory,p_wrong,0.0,0.0,0.0,0.0,0.0,0
gpt-5.6-luna,enforced_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
gpt-5.6-luna,enforced_minus_advisory,p_unresolved,0.03226049313005834,0.0222786874960788,0.009981805633979539,-0.000608989553817254,0.03601151190462068,0
gpt-5.6-luna,enforced_minus_advisory,e_attempts,1.4287596461509502,1.3657590396720831,0.06300060647886707,0.008649055121786025,0.12484621600379442,0
gpt-5.6-luna,enforced_minus_advisory,success_per_100_attempts,67.73284152285603,71.58812675614219,-3.8552852332861534,-7.598008293934176,-0.5589203147612865,0
gpt-5.6-luna,advisory_minus_none,p_success,0.9777213125039211,0.9719242110546458,0.005797101449275366,-0.0050412659873519585,0.02528700365603479,0
gpt-5.6-luna,advisory_minus_none,p_wrong,0.0,0.0,0.0,0.0,0.0,0
gpt-5.6-luna,advisory_minus_none,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
gpt-5.6-luna,advisory_minus_none,p_unresolved,0.0222786874960788,0.02807578894535416,-0.005797101449275359,-0.025287003656034777,0.005041265987352064,0
gpt-5.6-luna,advisory_minus_none,e_attempts,1.3657590396720831,1.3979756153669198,-0.03221657569483671,-0.08479638919296013,0.023357966531376523,0
gpt-5.6-luna,advisory_minus_none,success_per_100_attempts,71.58812675614219,69.52368842281626,2.064438333325924,-1.2832135902956998,5.407138996739123,0
gpt-5.6-luna,gate_minus_advisory,p_success,0.9645649036953385,0.9777213125039211,-0.013156408808582598,-0.04034555275852763,-0.0036670491254889854,0
gpt-5.6-luna,gate_minus_advisory,p_wrong,0.0,0.0,0.0,0.0,0.0,0
gpt-5.6-luna,gate_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
gpt-5.6-luna,gate_minus_advisory,p_unresolved,0.035435096304661524,0.0222786874960788,0.013156408808582723,0.003667049125489022,0.04034555275852756,0
gpt-5.6-luna,gate_minus_advisory,e_attempts,1.4520881694794736,1.3657590396720831,0.08632912980739049,0.04234450578308882,0.14093026775407497,0
gpt-5.6-luna,gate_minus_advisory,success_per_100_attempts,66.42605621124946,71.58812675614219,-5.162070544892728,-8.295141548036463,-2.563373987845723,0
